OBJECTID,MUNI_ID,MMSD_OWNER,MUNI_FEATURE_TYPE,RIM_ELEV,SIZE,STATUS,MUNI_OWNER,MMSD_FEATURE,YEAR_RECEIVED,NOTES,X_COORD,Y_COORD
74, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507788.42,440337.9336
75, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508333.926,440660.8644
76, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507875.825,440326.1872
77, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507669.058,440727.7569
78, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507669.17,440758.8835
79, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508163.467,441155.4228
80, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508347.307,441083.8809
81, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508356.428,441153.096
82, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508316.762,441083.8806
83, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508223.751,437962.1378
84, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508362.061,437717.4145
85, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507904.013,437986.7053
86, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507366.678,437384.5251
87, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507410.265,437384.7856
88, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507772.336,437739.0677
89, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507777.192,437696.6603
90, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508361.724,437677.5577
91, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508204.489,437691.3756
92, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508210.44,437730.1494
93, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507213.44,438024.6354
94, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507215.956,437849.2473
95, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507234.873,437797.3291
96, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507273.177,437754.9007
97, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2507306.214,437724.4122
98, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504409.344,437160.6417
99, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505918.566,436888.8571
100, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505581.735,433054.4186
101, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505530.094,433054.418
102, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2508683.507,435558.6456
103, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506033.265,432897.8901
104, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511467.701,431689.0034
105, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511410.575,431678.4394
106, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511413.575,431678.5565
107, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511366.331,431677.5782
108, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511401.861,431545.4991
109, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511368.035,431404.7261
110, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511596.906,431289.2922
111, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511544.592,431256.6627
112, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511426.882,431277.5482
113, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511371.298,431046.8222
114, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511514.308,431479.0717
115, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506171.641,435675.2018
116, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504486.015,436624.0345
117, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504452.421,436437.7383
118, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506069.837,435501.3153
119, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506091.835,435501.3983
120, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506379.155,435679.9465
121, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506379.182,435717.4897
122, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506378.579,435749.4077
123, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506639.767,435687.1076
124, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506639.717,435724.1587
125, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506638.858,435756.3358
126, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506071.233,435622.3046
127, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506093.231,435622.3879
128, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506104.865,435733.2879
129, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2506105.645,435710.2368
130, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505921.765,435653.5512
131, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505769.118,435776.5585
132, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505755.81,435722.7738
133, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505795.818,435722.7742
134, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505666.766,435705.0541
135, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505665.039,435775.3371
136, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505665.727,435737.2174
137, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505213.249,435655.958
138, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504940.364,435654.4594
139, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505770.07,435661.1385
140, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505769.552,435668.5663
141, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505667.28,435667.5003
142, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505667.249,435660.0466
143, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505425.515,435702.6381
144, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505425.709,435735.0225
145, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505425.208,435657.9049
146, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505425.239,435665.3583
147, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505214.779,435700.9675
148, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505213.379,435662.5843
149, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2505215.297,435732.9556
150, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504939.841,435697.9337
151, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2504940.018,435722.5042
