city_name,city_id,lat,lng
Grafton Storm Structures,1,43.32500263143449,-87.96234887401786
Grafton Storm Structures,2,43.32503825390759,-87.96126385349557
Grafton Storm Structures,3,43.32510968596698,-87.96125418780021
Grafton Storm Structures,4,43.32507623399641,-87.9624739195821
Grafton Storm Structures,5,43.32504207562428,-87.96376979656637
Grafton Storm Structures,6,43.325005043064195,-87.96511262986269
Grafton Storm Structures,7,43.32782913517738,-87.95628226346355
Grafton Storm Structures,8,43.32829597102971,-87.95626713152429
Grafton Storm Structures,9,43.32485739395242,-87.95762996494499
Grafton Storm Structures,10,43.32777382920729,-87.9576726951399
Grafton Storm Structures,11,43.326846648604416,-87.95766172390458
Grafton Storm Structures,12,43.32587677817392,-87.95764453613229
Grafton Storm Structures,13,43.32588648507326,-87.95892371810474
Grafton Storm Structures,14,43.328286518512925,-87.95657474054732
Grafton Storm Structures,15,43.3282592528259,-87.95768224868658
Grafton Storm Structures,16,43.3282475333188,-87.95891465859033
Grafton Storm Structures,17,43.329052796947956,-87.95891734795988
Grafton Storm Structures,18,43.32714702774837,-87.96014336187355
Grafton Storm Structures,19,43.326261595833714,-87.96012576390834
Grafton Storm Structures,20,43.32824095634344,-87.9601519571426
Grafton Storm Structures,21,43.32514073265678,-87.96010982219605
Grafton Storm Structures,22,43.34061793215587,-87.95763084107804
Grafton Storm Structures,23,43.34118021973083,-87.95650641764927
Grafton Storm Structures,24,43.34124802046761,-87.95635817329992
Grafton Storm Structures,25,43.33964740528181,-87.95924290102026
Grafton Storm Structures,26,43.340019282838135,-87.95848204230816
Grafton Storm Structures,27,43.33972035965419,-87.95909449195771
Grafton Storm Structures,28,43.34408145564767,-87.95663827922989
Grafton Storm Structures,29,43.34483495248911,-87.95671537255748
Grafton Storm Structures,30,43.34490481312105,-87.95876504754305
Grafton Storm Structures,31,43.34401133805128,-87.95826075682756
Grafton Storm Structures,32,43.34424033700351,-87.95874727315379
Grafton Storm Structures,33,43.34453920559447,-87.95890231054851
Grafton Storm Structures,34,43.336893530857076,-87.9616627516727
Grafton Storm Structures,35,43.336746967437705,-87.96186466295696
Grafton Storm Structures,36,43.33638580325528,-87.96202401099029
Grafton Storm Structures,37,43.33608101633359,-87.96202162076047
Grafton Storm Structures,38,43.33512268994347,-87.96180652729586
Grafton Storm Structures,39,43.33511223866594,-87.96241906998489
Grafton Storm Structures,40,43.331023620121535,-87.95819424851138
Grafton Storm Structures,41,43.330572288889876,-87.9601744036109
Grafton Storm Structures,42,43.33794318516204,-87.95999168959979
Grafton Storm Structures,43,43.3378273440421,-87.96031076062823
Grafton Storm Structures,44,43.3354496913911,-87.95929645835629
Grafton Storm Structures,45,43.33570599847352,-87.9593846044604
Grafton Storm Structures,46,43.33624284593923,-87.95933301120226
Grafton Storm Structures,47,43.336974238449436,-87.96029227598846
Grafton Storm Structures,48,43.334865581666264,-87.96025903363721
Grafton Storm Structures,49,43.336212726184876,-87.96028505721621
Grafton Storm Structures,50,43.33553084295933,-87.96027113346102
Grafton Storm Structures,51,43.335214693989585,-87.95628070967109
Grafton Storm Structures,52,43.335771893100855,-87.95632086292828
Grafton Storm Structures,53,43.33494992709243,-87.95715385917664
Grafton Storm Structures,54,43.33501098799307,-87.957404496069
Grafton Storm Structures,55,43.335270109774235,-87.95748897417565
Grafton Storm Structures,56,43.33574441416011,-87.95766075421406
Grafton Storm Structures,57,43.33565957283148,-87.95750291880046
Grafton Storm Structures,58,43.33640586330691,-87.95808886703144
Grafton Storm Structures,59,43.3367648790137,-87.95869309399416
Grafton Storm Structures,60,43.336902783711345,-87.95908908568516
Grafton Storm Structures,61,43.33625686273459,-87.9578595156233
Grafton Storm Structures,62,43.33633226966367,-87.95820758248037
Grafton Storm Structures,63,43.3357868627102,-87.95917640436853
Grafton Storm Structures,64,43.33382592308373,-87.95590677658315
Grafton Storm Structures,65,43.333127519162225,-87.95629945931347
Grafton Storm Structures,66,43.33305142828225,-87.95721456211321
Grafton Storm Structures,67,43.33376623139611,-87.95615494140479
Grafton Storm Structures,68,43.3337269436878,-87.95702876357588
Grafton Storm Structures,69,43.33699027392633,-87.96125403179252
Grafton Storm Structures,70,43.33520682789892,-87.9602661090955
Grafton Storm Structures,71,43.33513015179698,-87.96051159498258
Grafton Storm Structures,72,43.33450807830281,-87.9602872050705
Grafton Storm Structures,73,43.33410539131925,-87.96029191771093
Grafton Storm Structures,74,43.332025144487204,-87.95540376930161
Grafton Storm Structures,75,43.331564883210575,-87.9515424836037
Grafton Storm Structures,76,43.332194605866086,-87.95156071270144
Grafton Storm Structures,77,43.33220785971533,-87.95140245440096
Grafton Storm Structures,78,43.332723062033224,-87.94987349298718
Grafton Storm Structures,79,43.33283712058163,-87.94996972652342
Grafton Storm Structures,80,43.3364641419052,-87.9553739571808
Grafton Storm Structures,81,43.336544325654934,-87.9553824504817
Grafton Storm Structures,82,43.33712673648523,-87.95539168788693
Grafton Storm Structures,83,43.33504426593922,-87.95566075732536
Grafton Storm Structures,84,43.33460881493353,-87.95545214244146
Grafton Storm Structures,85,43.335640688754495,-87.95547714974177
Grafton Storm Structures,86,43.3376700423231,-87.95540704423485
Grafton Storm Structures,87,43.33465859645157,-87.9543863840764
Grafton Storm Structures,88,43.33368477325822,-87.9475890313211
Grafton Storm Structures,89,43.33466088153717,-87.9540890230906
Grafton Storm Structures,90,43.33383606608789,-87.95137806406863
Grafton Storm Structures,91,43.332909584616566,-87.95154731573673
Grafton Storm Structures,92,43.33354428477483,-87.95026878854324
