city_name,city_id,lat,lng
Milwaukee Combined,1,43.06024594740653,-87.94759895759451
Milwaukee Combined,2,43.06064955224615,-87.9464809897877
Milwaukee Combined,3,43.06060520487543,-87.94644021600224
Milwaukee Combined,4,43.06073146353791,-87.9464016367929
Milwaukee Combined,5,43.060831332419674,-87.94741483286182
Milwaukee Combined,6,43.07152157510308,-87.9676587839469
Milwaukee Combined,7,43.071587607987325,-87.96766992566282
Milwaukee Combined,8,43.07167299511152,-87.96757636674783
Milwaukee Combined,9,43.07146243943726,-87.96758097188749
Milwaukee Combined,10,43.071357531314646,-87.96746594133538
Milwaukee Combined,11,43.071357427366785,-87.9674054141004
Milwaukee Combined,12,43.071449284940904,-87.96725155749523
Milwaukee Combined,13,43.06784920660095,-87.96894433972939
Milwaukee Combined,14,43.0673751174093,-87.96882844138898
Milwaukee Combined,15,43.06737476543743,-87.96874738930092
Milwaukee Combined,16,43.06660773259728,-87.96883964041542
Milwaukee Combined,17,43.066606275129764,-87.96875804885921
Milwaukee Combined,18,43.06621148707951,-87.96875367791885
Milwaukee Combined,19,43.06612009163674,-87.96891939187203
Milwaukee Combined,20,43.066001921602826,-87.96875111154358
Milwaukee Combined,21,43.06436369536203,-87.96877522423445
Milwaukee Combined,22,43.06435391796026,-87.9688717376856
Milwaukee Combined,23,43.06429842935408,-87.96895808342578
Milwaukee Combined,24,43.06418277157694,-87.96887343185524
Milwaukee Combined,25,43.064171656257365,-87.96878490771297
Milwaukee Combined,26,43.06230438757208,-87.96737987846699
Milwaukee Combined,27,43.062248091634686,-87.96751746019292
Milwaukee Combined,28,43.06228737744273,-87.96759302222605
Milwaukee Combined,29,43.07205866520182,-87.9675716179726
Milwaukee Combined,30,43.071989166853925,-87.96724371682558
Milwaukee Combined,31,43.07220901307358,-87.96724070650502
Milwaukee Combined,32,43.07245823724275,-87.96723678051843
Milwaukee Combined,33,43.072549287450116,-87.96735270842025
Milwaukee Combined,34,43.07241291613374,-87.96744974787627
Milwaukee Combined,35,43.07287783816153,-87.96723142920118
Milwaukee Combined,36,43.072823806005836,-87.96744509794834
Milwaukee Combined,37,43.07275628760893,-87.9673494845298
Milwaukee Combined,38,43.072687478421926,-87.96723365052445
Milwaukee Combined,39,43.07303241355297,-87.96755805976585
Milwaukee Combined,40,43.07328367222786,-87.9675543081057
Milwaukee Combined,41,43.07335026484025,-87.9676581888809
Milwaukee Combined,42,43.07326517036013,-87.96737669720314
Milwaukee Combined,43,43.07331025400783,-87.96722439999768
Milwaukee Combined,44,43.07343209123721,-87.96766013910866
Milwaukee Combined,45,43.083486496295144,-87.93462349868138
Milwaukee Combined,46,43.08348722261975,-87.93451775955022
Milwaukee Combined,47,43.08353714351579,-87.93470224763637
Milwaukee Combined,48,43.08361489233743,-87.93469339892084
Milwaukee Combined,49,43.08240017721865,-87.93479889199101
Milwaukee Combined,50,43.082233830399694,-87.93470781315716
Milwaukee Combined,51,43.08211173396326,-87.93483439064323
Milwaukee Combined,52,43.081721843568324,-87.93442297596962
Milwaukee Combined,53,43.08184923464875,-87.93357199441495
Milwaukee Combined,54,43.081755964585405,-87.93358971030314
Milwaukee Combined,55,43.0816991185603,-87.93348904982811
Milwaukee Combined,56,43.08169341399717,-87.93338427442606
Milwaukee Combined,57,43.08270459193963,-87.93346570175689
Milwaukee Combined,58,43.0827047088834,-87.93336152257713
Milwaukee Combined,59,43.08345974960253,-87.93334434171852
Milwaukee Combined,60,43.083463296169676,-87.93344681109666
Milwaukee Combined,61,43.08351506847061,-87.93351478162836
Milwaukee Combined,62,43.083592195969544,-87.93353002334342
Milwaukee Combined,63,43.086670537090434,-87.92950582752174
Milwaukee Combined,64,43.086463135830996,-87.92946209157793
Milwaukee Combined,65,43.08644999471057,-87.92900522250146
Milwaukee Combined,66,43.08624418484943,-87.9289622072229
Milwaukee Combined,67,43.08614520217921,-87.92830581626475
Milwaukee Combined,68,43.085939530054226,-87.92826622771491
Milwaukee Combined,69,43.085724356804754,-87.92777431842107
Milwaukee Combined,70,43.08541229047448,-87.92705553639387
Milwaukee Combined,71,43.085604934630325,-87.92707196738438
Milwaukee Combined,72,43.085772663987576,-87.92724276456234
Milwaukee Combined,73,43.08542539349002,-87.92725187071727
Milwaukee Combined,74,43.08536193711926,-87.92714825226335
Milwaukee Combined,75,43.08536106356821,-87.92651237149744
Milwaukee Combined,76,43.08520095324572,-87.92657059505447
Milwaukee Combined,77,43.08522329021531,-87.92602345033936
Milwaukee Combined,78,43.085170224158524,-87.92591929652433
Milwaukee Combined,79,43.08488701890705,-87.92603162369096
Milwaukee Combined,80,43.08483987880638,-87.925927866365
Milwaukee Combined,81,43.084853124137716,-87.9253441814987
Milwaukee Combined,82,43.08465407466293,-87.924889564149
Milwaukee Combined,83,43.08464981670891,-87.92469833280782
Milwaukee Combined,84,43.0843618045986,-87.92481310559863
Milwaukee Combined,85,43.084303833885,-87.92470473016402
Milwaukee Combined,86,43.08447702149773,-87.9244832027678
Milwaukee Combined,87,43.08403324983365,-87.9238946323222
Milwaukee Combined,88,43.08411936004697,-87.9236623350032
Milwaukee Combined,89,43.08378021353471,-87.9235112896047
Milwaukee Combined,90,43.083734467476475,-87.92340934612987
Milwaukee Combined,91,43.08359155435867,-87.92245136479768
Milwaukee Combined,92,43.08329092603858,-87.92235898000364
Milwaukee Combined,93,43.08323794198327,-87.92225625234245
Milwaukee Combined,94,43.083303567361675,-87.92178716428256
Milwaukee Combined,95,43.083114230888185,-87.92178150395208
Milwaukee Combined,96,43.08308321474407,-87.92128151626237
